speed,power
2.995,2.362
2.998,3.396
3.003,13.430
3.008,1.045
3.010,4.904
3.015,0.222
3.018,3.986
3.030,0.642
3.033,0.000
3.035,1.132
3.038,0.513
3.040,3.148
3.050,3.447
3.055,2.366
3.060,3.812
3.070,2.598
3.078,1.217
3.080,3.868
3.083,0.000
3.085,0.000
3.093,0.000
3.095,0.000
3.100,0.000
3.105,6.620
3.108,8.155
3.110,6.628
3.115,0.142
3.125,3.519
3.128,7.467
3.135,1.784
3.138,0.000
3.140,0.183
3.148,2.400
3.155,7.959
3.160,4.774
3.165,6.428
3.173,0.000
3.188,0.040
3.190,6.084
3.195,2.807
3.198,4.024
3.200,0.000
3.203,0.239
3.205,12.082
3.210,2.978
3.213,2.371
3.215,0.000
3.220,2.140
3.223,3.116
3.225,0.000
3.230,3.222
3.233,2.332
3.250,7.111
3.255,0.000
3.258,0.000
3.260,1.015
3.263,2.615
3.268,9.490
3.270,0.000
3.280,0.000
3.293,0.000
3.295,1.216
3.305,4.440
3.308,0.000
3.310,4.490
3.318,0.000
3.325,0.000
3.328,3.975
3.335,3.938
3.340,0.000
3.343,5.748
3.358,8.258
3.360,6.288
3.368,3.267
3.370,8.319
3.373,1.573
3.375,7.761
3.378,2.846
3.380,1.474
3.388,0.768
3.390,4.749
3.393,5.943
3.395,5.771
3.403,2.252
3.408,0.000
3.410,1.649
3.413,0.000
3.415,0.000
3.418,5.643
3.425,6.239
3.435,5.229
3.438,4.256
3.440,2.786
3.443,0.000
3.448,2.030
3.455,0.000
3.458,0.898
3.463,1.175
3.465,2.642
3.473,2.811
3.478,0.460
3.480,1.984
3.485,4.105
3.490,6.016
3.493,5.274
3.495,4.537
3.500,0.780
3.503,3.556
3.508,3.924
3.510,0.440
3.520,1.947
3.523,1.822
3.525,0.000
3.530,5.997
3.538,0.000
3.543,6.810
3.548,7.305
3.550,0.000
3.555,4.597
3.560,0.000
3.568,0.000
3.575,4.866
3.578,6.387
3.583,6.278
3.585,0.000
3.593,9.688
3.595,3.889
3.610,5.603
3.615,4.801
3.618,1.361
3.623,3.271
3.625,4.907
3.630,4.679
3.635,1.533
3.640,0.000
3.643,4.440
3.645,2.195
3.653,2.020
3.655,2.244
3.658,4.034
3.665,5.350
3.673,0.000
3.678,2.651
3.690,4.900
3.705,3.798
3.708,0.000
3.718,0.000
3.720,0.000
3.723,0.000
3.725,0.000
3.728,0.000
3.730,0.000
3.735,4.931
3.738,9.437
3.745,8.331
3.750,0.000
3.753,0.000
3.773,0.756
3.790,7.967
3.795,1.024
3.798,1.599
3.800,4.963
3.803,6.490
3.805,0.000
3.808,1.519
3.813,5.665
3.815,1.249
3.830,2.161
3.835,5.473
3.838,0.000
3.850,0.116
3.858,0.000
3.860,0.000
3.865,4.465
3.868,12.207
3.873,1.127
3.875,7.850
3.878,7.175
3.885,2.633
3.888,0.000
3.890,0.000
3.898,7.752
3.903,4.297
3.905,4.687
3.923,0.000
3.930,4.552
3.933,0.000
3.935,3.363
3.943,6.952
3.945,2.072
3.948,4.081
3.970,0.000
3.980,2.730
3.983,4.342
3.988,0.000
3.990,5.579
3.995,7.715
3.998,1.010
4.003,1.349
4.005,0.000
4.008,8.958
4.013,1.971
4.018,0.000
4.020,0.000
4.023,2.465
4.025,0.246
4.033,7.166
4.038,2.907
4.048,3.531
4.058,0.000
4.065,4.452
4.068,0.260
4.070,4.675
4.080,7.639
4.085,3.483
4.088,1.918
4.095,8.885
4.100,12.993
4.108,7.018
4.110,3.999
4.113,2.571
4.115,0.989
4.118,6.149
4.123,2.844
4.135,0.000
4.138,3.965
4.140,0.000
4.153,0.000
4.155,4.288
4.160,5.725
4.165,2.941
4.173,6.525
4.180,2.541
4.185,5.020
4.198,8.126
4.205,0.000
4.210,1.085
4.220,7.328
4.235,5.410
4.238,2.606
4.248,5.382
4.250,4.415
4.253,1.166
4.260,8.527
4.265,2.455
4.268,0.408
4.270,1.017
4.275,0.000
4.280,1.212
4.290,1.091
4.295,10.020
4.300,0.000
4.303,0.584
4.305,5.046
4.313,2.421
4.315,0.000
4.318,0.000
4.323,0.000
4.328,5.987
4.340,4.754
4.343,1.971
4.348,1.338
4.350,0.000
4.353,5.120
4.358,2.790
4.360,3.966
4.365,4.808
4.368,0.000
4.375,3.776
4.378,3.148
4.380,8.560
4.383,3.381
4.400,0.000
4.405,4.067
4.408,2.830
4.410,0.000
4.415,2.677
4.420,1.198
4.423,4.827
4.425,1.925
4.430,0.000
4.435,0.000
4.438,0.798
4.440,2.401
4.443,6.603
4.450,2.540
4.455,2.082
4.458,2.321
4.463,3.101
4.465,1.124
4.468,7.076
4.475,4.243
4.478,5.655
4.480,0.000
4.483,8.741
4.485,5.373
4.488,4.264
4.493,0.000
4.503,0.000
4.508,4.547
4.510,2.596
4.518,4.803
4.520,0.000
4.525,0.432
4.528,6.335
4.530,5.560
4.535,3.045
4.538,0.000
4.540,8.339
4.545,0.670
4.553,10.281
4.555,0.000
4.563,0.000
4.565,7.630
4.580,0.000
4.583,1.772
4.588,5.937
4.593,0.000
4.595,0.000
4.598,0.235
4.603,4.188
4.610,8.042
4.613,8.681
4.615,0.000
4.618,5.639
4.620,5.933
4.628,3.169
4.630,6.811
4.633,2.246
4.635,3.042
4.640,0.000
4.645,12.576
4.653,4.977
4.660,8.182
4.665,8.708
4.673,6.560
4.678,0.843
4.680,3.575
4.685,4.026
4.693,2.572
4.695,5.255
4.698,0.222
4.705,5.748
4.708,3.313
4.725,4.506
4.730,0.000
4.735,5.151
4.738,0.000
4.740,7.688
4.745,0.000
4.748,0.000
4.750,3.601
4.758,0.000
4.760,7.020
4.763,0.000
4.765,2.556
4.768,1.081
4.773,1.889
4.775,4.828
4.778,0.000
4.783,15.948
4.788,5.649
4.790,0.000
4.795,2.821
4.803,0.000
4.805,0.000
4.810,1.946
4.825,1.022
4.833,0.000
4.840,3.548
4.845,3.054
4.850,0.000
4.853,0.000
4.855,7.063
4.863,3.207
4.868,7.918
4.878,0.822
4.880,7.783
4.883,0.017
4.885,5.785
4.895,3.259
4.898,1.527
4.900,6.073
4.903,4.960
4.905,0.000
4.910,0.000
4.915,5.472
4.923,0.412
4.925,8.797
4.933,1.402
4.945,1.655
4.955,5.056
4.958,0.000
4.960,1.387
4.963,1.127
4.975,0.000
4.978,0.000
4.980,0.000
4.983,1.175
4.985,4.455
4.988,0.757
4.998,3.497
5.001,5.819
5.006,5.644
5.018,4.815
5.036,7.626
5.043,1.302
5.048,0.000
5.053,2.940
5.058,1.047
5.063,0.000
5.066,2.765
5.068,4.228
5.076,0.701
5.081,1.245
5.083,5.649
5.088,4.160
5.093,0.744
5.103,3.496
5.106,0.000
5.113,4.275
5.121,0.000
5.131,3.155
5.133,0.000
5.136,5.989
5.138,2.038
5.143,8.752
5.146,5.524
5.148,7.200
5.156,0.000
5.158,2.987
5.161,3.279
5.163,1.389
5.168,3.115
5.173,0.000
5.176,1.952
5.181,3.293
5.186,0.000
5.188,5.524
5.196,0.000
5.206,10.137
5.211,1.225
5.213,9.115
5.221,0.000
5.228,2.691
5.236,10.957
5.241,1.622
5.243,0.000
5.256,0.930
5.261,4.347
5.263,6.871
5.271,5.049
5.273,8.931
5.278,5.719
5.281,1.602
5.283,0.000
5.288,10.554
5.291,6.148
5.301,1.042
5.306,0.827
5.313,0.000
5.316,11.471
5.321,5.220
5.323,0.000
5.326,3.609
5.336,0.186
5.338,5.963
5.343,0.000
5.346,5.258
5.351,0.000
5.353,0.730
5.356,0.000
5.366,2.375
5.376,0.756
5.381,1.603
5.401,1.095
5.403,10.299
5.406,1.161
5.413,0.000
5.423,2.162
5.436,7.244
5.438,7.900
5.443,0.000
5.446,3.218
5.451,7.367
5.456,0.673
5.458,1.109
5.471,2.830
5.476,5.253
5.483,1.569
5.488,0.000
5.491,14.585
5.496,0.162
5.498,2.881
5.503,0.000
5.508,6.338
5.511,1.742
5.513,7.187
5.526,3.293
5.531,4.966
5.533,4.129
5.541,4.180
5.546,8.854
5.548,2.601
5.551,0.185
5.553,8.606
5.556,1.267
5.561,0.000
5.566,0.965
5.571,2.615
5.573,1.148
5.583,0.861
5.586,7.180
5.588,5.089
5.591,0.000
5.596,0.245
5.601,10.640
5.606,3.454
5.608,3.592
5.616,2.009
5.618,1.467
5.623,7.872
5.626,0.000
5.628,2.953
5.631,0.881
5.636,12.127
5.638,0.000
5.648,0.000
5.653,0.000
5.656,0.000
5.658,4.560
5.663,0.000
5.668,2.917
5.671,8.251
5.678,7.617
5.683,2.936
5.686,14.326
5.706,0.000
5.708,0.000
5.711,0.000
5.713,4.170
5.718,0.000
5.728,0.000
5.733,0.000
5.736,5.459
5.738,7.961
5.741,3.522
5.751,1.841
5.756,0.000
5.758,3.469
5.761,7.060
5.766,0.000
5.768,1.900
5.771,6.629
5.781,1.998
5.783,0.263
5.786,5.883
5.796,0.000
5.798,0.000
5.801,0.000
5.803,3.289
5.811,0.392
5.816,4.300
5.821,6.192
5.823,6.616
5.833,10.900
5.838,4.371
5.843,1.263
5.846,0.000
5.848,2.410
5.856,0.000
5.858,7.128
5.866,0.602
5.868,4.316
5.871,0.000
5.878,5.755
5.881,0.304
5.883,8.007
5.888,9.464
5.903,7.603
5.908,0.000
5.911,6.654
5.926,0.000
5.933,6.114
5.941,6.870
5.943,0.000
5.951,0.000
5.956,8.932
5.961,0.642
5.966,7.581
5.968,1.767
5.973,9.137
5.976,5.932
5.983,4.734
5.986,5.846
5.996,1.083
6.003,10.016
6.008,0.000
6.011,2.289
6.013,7.076
6.016,7.411
6.018,9.872
6.026,5.880
6.028,6.502
6.031,2.315
6.036,6.547
6.046,3.565
6.051,5.781
6.053,5.748
6.056,9.545
6.058,6.507
6.061,3.311
6.066,3.969
6.068,7.084
6.071,12.575
6.076,4.378
6.078,1.361
6.081,0.000
6.086,0.000
6.093,3.049
6.096,17.015
6.101,1.225
6.108,4.371
6.113,3.483
6.118,8.842
6.123,6.884
6.126,0.000
6.128,6.732
6.131,9.106
6.138,7.055
6.141,0.000
6.143,5.331
6.153,2.075
6.158,5.998
6.168,4.570
6.181,0.748
6.183,0.000
6.186,7.565
6.191,4.643
6.198,0.000
6.203,1.045
6.211,1.675
6.216,1.516
6.228,4.840
6.231,8.392
6.233,1.889
6.236,6.939
6.241,0.438
6.246,6.617
6.248,3.890
6.258,0.000
6.261,2.939
6.263,3.026
6.266,7.228
6.271,2.736
6.283,10.440
6.286,3.737
6.288,3.888
6.291,3.117
6.293,6.361
6.296,7.150
6.306,0.435
6.311,4.289
6.321,3.323
6.328,0.481
6.336,4.380
6.338,3.777
6.353,4.696
6.356,0.000
6.358,6.888
6.361,0.000
6.373,4.228
6.378,11.826
6.391,3.797
6.393,0.000
6.396,12.362
6.398,4.772
6.403,6.524
6.406,2.157
6.413,8.583
6.416,6.287
6.426,2.682
6.428,5.026
6.433,3.787
6.436,3.987
6.438,8.100
6.443,8.750
6.446,6.990
6.456,7.533
6.458,0.000
6.471,15.832
6.473,4.313
6.478,6.670
6.481,2.617
6.483,12.329
6.486,7.196
6.488,0.000
6.493,2.039
6.496,7.505
6.503,1.257
6.526,5.944
6.531,0.000
6.533,6.308
6.538,4.499
6.541,13.699
6.546,7.177
6.551,10.580
6.558,2.371
6.566,4.938
6.568,2.860
6.571,0.000
6.573,0.000
6.576,4.876
6.586,6.525
6.588,8.896
6.591,2.233
6.593,8.365
6.596,6.656
6.606,6.035
6.608,8.005
6.611,3.462
6.623,7.156
6.628,11.919
6.633,5.902
6.636,2.121
6.641,5.163
6.648,3.016
6.651,7.960
6.661,2.774
6.666,0.763
6.668,13.526
6.681,11.490
6.693,9.137
6.696,2.518
6.698,7.697
6.701,2.058
6.703,9.026
6.706,2.051
6.708,11.259
6.713,2.198
6.716,3.237
6.718,0.000
6.726,8.127
6.728,8.206
6.731,4.742
6.736,12.891
6.743,4.300
6.748,6.550
6.751,3.396
6.753,2.570
6.756,0.278
6.766,0.000
6.773,2.437
6.776,7.417
6.778,2.554
6.788,4.635
6.793,9.422
6.806,8.381
6.811,6.783
6.816,0.000
6.823,4.873
6.826,13.494
6.833,1.734
6.838,8.140
6.841,9.102
6.846,1.863
6.871,10.456
6.873,14.928
6.876,9.459
6.883,5.867
6.886,3.666
6.888,4.407
6.891,2.313
6.893,15.375
6.898,9.586
6.906,6.299
6.908,5.143
6.913,1.274
6.916,3.085
6.918,2.259
6.923,0.000
6.926,10.222
6.928,6.897
6.933,0.723
6.936,1.195
6.953,6.096
6.956,5.927
6.966,0.038
6.968,4.572
6.973,4.836
6.976,11.068
6.978,2.273
6.988,2.843
6.991,3.408
6.993,0.000
6.996,4.577
6.998,10.565
7.003,6.007
7.011,10.661
7.013,1.795
7.018,0.000
7.028,10.815
7.031,2.623
7.041,6.869
7.046,3.564
7.048,4.465
7.053,6.836
7.058,6.216
7.071,6.759
7.091,6.521
7.093,7.513
7.096,4.023
7.098,10.122
7.101,4.036
7.106,6.066
7.108,9.730
7.118,9.333
7.121,11.327
7.123,11.140
7.133,0.000
7.138,0.000
7.141,1.566
7.143,3.555
7.146,5.511
7.148,4.672
7.151,0.000
7.156,8.709
7.158,3.393
7.161,3.354
7.163,2.930
7.166,12.598
7.171,3.460
7.173,9.512
7.178,3.819
7.191,7.217
7.196,0.929
7.201,4.472
7.208,0.000
7.216,10.373
7.218,9.665
7.226,18.564
7.233,8.276
7.236,3.855
7.238,6.235
7.241,8.145
7.243,9.147
7.251,9.463
7.256,7.419
7.261,7.205
7.271,10.493
7.276,6.709
7.278,8.279
7.286,12.492
7.288,5.184
7.291,6.903
7.301,8.727
7.303,5.885
7.311,1.888
7.316,11.501
7.318,7.723
7.328,14.230
7.331,3.721
7.336,3.995
7.341,13.537
7.346,2.969
7.348,6.978
7.353,3.738
7.356,5.556
7.358,8.495
7.363,0.000
7.371,6.190
7.376,0.903
7.386,5.299
7.388,6.968
7.393,7.961
7.398,7.590
7.401,12.381
7.403,6.108
7.411,1.421
7.413,0.000
7.416,10.986
7.418,2.936
7.421,8.199
7.426,7.682
7.431,10.672
7.438,5.016
7.446,0.519
7.451,5.016
7.456,6.492
7.458,5.929
7.466,10.491
7.468,2.429
7.471,15.461
7.478,8.008
7.486,3.071
7.491,6.094
7.503,7.202
7.511,1.235
7.521,11.938
7.523,7.803
7.531,7.823
7.536,9.201
7.538,10.544
7.543,11.314
7.546,3.930
7.551,6.273
7.556,2.304
7.561,6.646
7.568,13.981
7.571,7.100
7.573,2.490
7.576,8.576
7.593,5.678
7.606,7.797
7.608,5.488
7.613,15.253
7.616,10.932
7.618,4.912
7.621,7.445
7.628,8.608
7.633,10.120
7.636,3.418
7.641,3.622
7.643,5.083
7.648,14.921
7.651,5.351
7.656,6.894
7.663,0.000
7.666,0.000
7.681,4.316
7.683,0.000
7.691,6.215
7.696,11.350
7.698,7.623
7.701,13.400
7.703,9.651
7.706,2.666
7.716,9.176
7.723,5.801
7.726,12.436
7.733,15.153
7.738,0.000
7.751,12.730
7.753,5.703
7.758,12.466
7.763,6.356
7.768,2.441
7.773,11.233
7.778,5.779
7.781,7.117
7.786,7.538
7.788,13.768
7.791,5.593
7.793,9.113
7.798,1.653
7.801,8.059
7.803,12.851
7.811,13.131
7.813,0.910
7.816,12.607
7.826,12.768
7.833,0.000
7.836,8.852
7.838,5.111
7.841,3.849
7.851,9.619
7.861,3.302
7.868,17.469
7.876,6.270
7.878,10.019
7.881,3.193
7.886,5.394
7.888,6.808
7.891,7.869
7.898,7.677
7.901,7.881
7.903,6.769
7.908,1.976
7.911,10.291
7.913,9.591
7.916,14.028
7.918,7.285
7.928,3.823
7.936,3.701
7.941,9.222
7.943,1.079
7.951,9.205
7.958,8.158
7.966,0.824
7.968,10.486
7.971,2.366
7.981,17.230
7.983,8.706
7.991,7.274
7.998,1.401
8.003,0.000
8.006,4.583
8.011,7.310
8.013,9.047
8.018,2.490
8.021,11.694
8.031,6.173
8.033,11.616
8.038,7.101
8.041,6.629
8.051,9.448
8.053,6.135
8.058,11.952
8.061,9.586
8.068,10.553
8.086,11.035
8.088,12.710
8.103,9.885
8.108,2.284
8.133,15.074
8.136,14.621
8.138,9.742
8.151,12.579
8.156,0.000
8.161,12.371
8.171,11.219
8.176,9.714
8.178,10.737
8.186,0.514
8.191,12.201
8.193,8.586
8.196,7.627
8.201,7.074
8.203,15.827
8.211,13.373
8.221,15.059
8.231,9.350
8.233,4.938
8.236,6.698
8.238,10.287
8.241,10.236
8.248,6.394
8.253,4.792
8.256,0.226
8.258,7.901
8.273,6.597
8.281,7.391
8.296,11.726
8.298,3.959
8.301,11.152
8.306,5.458
8.313,16.360
8.316,16.409
8.318,10.339
8.323,7.373
8.326,4.492
8.331,10.182
8.333,13.258
8.338,12.202
8.346,6.581
8.348,5.990
8.353,6.363
8.356,8.503
8.361,10.946
8.363,8.883
8.366,9.978
8.368,14.586
8.371,14.820
8.373,9.074
8.386,6.935
8.388,10.653
8.393,0.198
8.398,6.141
8.406,15.253
8.413,9.541
8.416,7.878
8.418,7.075
8.421,10.323
8.426,12.763
8.428,5.107
8.431,11.290
8.446,6.076
8.453,8.212
8.456,0.000
8.458,4.965
8.463,14.880
8.473,9.893
8.476,17.689
8.483,7.312
8.488,8.369
8.491,8.251
8.493,8.959
8.498,5.549
8.506,5.273
8.513,8.131
8.516,12.884
8.518,15.137
8.521,11.646
8.523,4.626
8.531,10.860
8.533,16.033
8.536,8.698
8.541,15.250
8.551,9.620
8.556,8.292
8.561,14.466
8.563,19.767
8.568,11.869
8.571,10.918
8.576,6.288
8.581,6.260
8.593,12.662
8.598,5.159
8.601,7.866
8.603,9.433
8.613,10.276
8.618,13.483
8.628,7.756
8.633,14.102
8.638,9.086
8.641,6.068
8.648,8.440
8.658,14.946
8.661,13.646
8.663,10.099
8.666,6.301
8.671,14.669
8.673,16.985
8.676,18.653
8.678,13.630
8.681,21.933
8.688,2.002
8.691,13.863
8.696,10.447
8.701,16.092
8.706,14.642
8.708,11.989
8.711,10.244
8.723,12.171
8.731,6.242
8.733,13.592
8.736,13.479
8.738,9.522
8.743,13.392
8.751,12.362
8.761,14.161
8.766,11.150
8.771,9.906
8.776,16.772
8.786,7.205
8.788,14.163
8.793,9.582
8.806,16.909
8.811,7.298
8.816,15.756
8.818,17.151
8.828,9.034
8.831,6.240
8.833,17.854
8.843,8.027
8.848,11.119
8.851,3.538
8.853,17.125
8.871,16.772
8.876,18.623
8.878,9.038
8.881,12.397
8.883,19.625
8.888,15.671
8.893,13.355
8.903,8.336
8.908,10.245
8.911,19.500
8.921,22.238
8.926,11.130
8.931,9.321
8.933,12.647
8.936,11.727
